customer_tweet_id,customer_id,customer_message,brand_response,customer_created_at
1358042,436618,Wow battery is really dying significantly faster since the update. Smh. @AppleSupport,@436618 That should not be happening. Let us help. Tell us which device you're using via DM. https://t.co/GDrqU22YpT,Mon Oct 16 14:17:12 +0000 2017
2461024,367120,And then this happens and nothing else !!! #help #apple #iphone @AppleSupport https://t.co/uUPusAkiEN,@367120 Thank you for reaching out to us. We'd like to gather additional information to determine support options. DM us here. https://t.co/GDrqU22YpT,Tue Oct 24 08:23:50 +0000 2017
184128,159326,what the hell is wrong with apple music now??! someone enlighten me @AppleSupport 😭 https://t.co/q4MfxN1vll,@159326 We’ve got you covered. Which versions of iOS are you using (Settings &gt; General &gt; About)? Are you singed into your account?,Sat Oct 14 23:24:45 +0000 2017
2771886,589851,My phone messes up every time a new iPhone comes out but this time it’s too many malfunctions and my phone keeps freezing. 😒 @AppleSupport @115858 @106174,@589851 We want to be sure that you can use your iPhone without any issues. We can definitely look into this with you. Send us a DM and let us know what's happening specifically. We'll take it from there. https://t.co/GDrqU22YpT,Tue Nov 21 05:41:33 +0000 2017
1151337,390934,@AppleSupport sir.Upgraded to iOS 11.It is draining my phone battery and there is lot of lag . Expecting more reliability .,@390934 We can work toward a solution together. Let's get started in DM. https://t.co/GDrqU22YpT,Sun Oct 15 17:13:45 +0000 2017
2686666,755509,@AppleSupport the new upgrade has stopped some my apps from working,@755509 We can help! What's going on with them specifically?,Sun Nov 19 05:01:02 +0000 2017
2072814,613085,@AppleSupport I can’t text my friends. It’s happening every now and then. The characters don’t show up. Do you know why this’s happening to me? https://t.co/Hy8SlGXs0k,"@613085 Let's meet up in DM and take a look at this. Give us as many details as you can there, and we'll see what we can get done. https://t.co/GDrqU22YpT",Tue Oct 10 00:50:23 +0000 2017
1278175,321052,"@AppleSupport My version is 11.0.3 but I allready had this problem with the other versions of iOS 11. for most applications, my phone turns off after 10 seconds, but sometime (for exemple Netflix) when I turn my phone to plain mode, I can run the app for an hour",@321052 We'd like to take a further look. Let's meet in DM. https://t.co/GDrqU22YpT,Thu Oct 26 16:58:52 +0000 2017
2253471,656457,"@AppleSupport It happens on all apps. Yet, when I place an object up close it focuses.","@656457 Can you take a look at the steps in this article and see if they help? https://t.co/r1DRfaFLIU

DM us the results: https://t.co/GDrqU22YpT",Sat Nov 11 03:23:35 +0000 2017
2945663,813652,@AppleSupport I tried this steps and it says it’s not eligible,@813652 Reaching out to our iTunes Store team is the next then. You can reach them at this link:  https://t.co/SDIe7UiyJN,Wed Nov 29 16:24:03 +0000 2017
1576367,485661,@AppleSupport what the fuck is I️,@485661 We'd like to help. Check out this article for assistance: https://t.co/xU1AGIa4ME,Sat Nov 04 14:00:42 +0000 2017
41703,124307,Now this crazy iPhone 8 is putting all sorts of emoji‘s in my writing. I️ hate emoji’s! @AppleSupport fix the system!,"@124307 Please go to Settings &gt; Reset &gt; Reset keyboard dictionary to reset any unwanted correction, then restart your iPhone.",Wed Nov 01 12:40:57 +0000 2017
928038,340195,@AppleSupport is there real people to sort out problems or do I have to spend all day typing DMs #iOS11,@340195 You're welcome to reach out to our phone support and all of our support numbers can be found at https://t.co/1OxnSOXiWG,Fri Oct 13 22:00:32 +0000 2017
2092700,618409,"@AppleSupport If I didn’t pre order the iPhone X, will I be able to get it by December if I order it once it comes out?",@618409 Let's check this out together. Follow us to DM and we'll take a closer look. https://t.co/GDrqU22YpT,Sun Oct 29 02:54:25 +0000 2017
1785350,536401,@AppleSupport My iPhone 6Plus heating too much that I can't even talk. iOS11.0.2,"@536401 We're here to help. Have you tried restarting the device since updating? Please DM and let us know, we'll meet you there. https://t.co/GDrqU22YpT",Wed Oct 11 08:36:21 +0000 2017
1575078,485377,what’s up with these glitches @AppleSupport,@485377 We'd like to get to the bottom of the issue you're seeing. Could you join us in DM with more details? https://t.co/GDrqU22YpT,Sat Nov 04 05:03:43 +0000 2017
898606,118754,Anyone else getting this on #iPhone #iOS11 doesn’t matter what app I’m in. Note someone’s #Facebook post is it as well. @AppleSupport #fb https://t.co/wMpU54R6JM,@118754 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Wed Nov 08 00:05:57 +0000 2017
1239022,410630,@AppleSupport @159983 since the ios11 update my wireless earphones are out of sync when watching YouTube vids #2secdelay,@410630 Let's narrow this down. What kind of earphones do you have? Does  this happen when playing through your iOS device speakers?,Wed Oct 25 21:26:55 +0000 2017
1773198,532935,"@AppleSupport Thanks.  Not a problem with my phone,  problem with the latest iOS update.  Installed 11.1 and it seems even glitchier than 11.0",@532935 We'd like to review this further for you. Please DM us to get started. https://t.co/GDrqU22YpT,Wed Nov 08 02:47:07 +0000 2017
592241,260158,"@AppleSupport every time I get a Snapchat it’s stops my music - pandora and owned music, doesn’t matter how I’m listening - help",@260158 We're happy to assist. Which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version.,Sun Dec 03 16:25:54 +0000 2017
554084,249277,"@AppleSupport I'm having some problems with my IPhone 7, it keeps restarting and showing a black screen with a spinning icon. How do I fix this?","@249277 We want to help with your iPhone. If your device with iOS 11 unexpectedly restarts repeatedly on or after December 2, 2017, this article will walk you through a solution:
https://t.co/Wc5MHFZb0p",Sat Dec 02 15:54:43 +0000 2017
1967476,352196,"@AppleSupport why Is that when I turn off wifi from control centre , it appears ON under settings.","@352196 In iOS 11, when you turn off Wi-Fi in Control Center, it will disconnect any connections. Read more: https://t.co/G7BHuQFeJE https://t.co/GDrqU2kzhr",Tue Oct 31 11:34:22 +0000 2017
565008,156798,"@AppleSupport to recycle an Apple device, do I just bring it to an Apple Store? Are there any process that I have to go through?",@156798 Thanks for reaching out to us. We can definitely offer some guidance to help with recycling your device. Follow this link to learn about our recycling programs: https://t.co/ev5QiiHXHb,Sun Dec 03 00:32:08 +0000 2017
1877853,334524,"@AppleSupport my phone is slower than ever, I have the update 11.0.3 and also the battery does not last one day, solution please","@334524 You’ve come to the right place. Join us in DM, we can gather information about your iPhone and when the performance changed. https://t.co/GDrqU22YpT",Sat Oct 21 01:00:33 +0000 2017
1803016,541773,@AppleSupport this new update has turned my iphone into a really expensive brick... aka.. it’s frozen 95% of the time.. WTF?,@541773 Thanks for reaching out. Let's take a look at this together. Which iPhone model do you have? DM us more info. https://t.co/GDrqU22YpT,Fri Oct 13 13:05:30 +0000 2017
1521205,472841,"@61685 @AppleSupport None of my apps seem to! Twitter, snapchat, whatsapp. It’s really annoying!!x",@472841 Let's get your apps working like they should be. Try the steps in this article to get them installed: https://t.co/lsXolVRbbk,Fri Nov 03 11:22:59 +0000 2017
285168,183939,@AppleSupport do you fancy fixing the bug in IOS 11 where an alarm goes off without any sound? Defeats the whole point of an alarm.,@183939 We can help with alarms. Have you tried recreating the alarm to see if the issue persists?,Fri Oct 06 07:59:03 +0000 2017
2285827,655298,@AppleSupport https://t.co/fucPBACKNi,@655298 Are you using a specific app when this happens?,Thu Oct 19 19:28:03 +0000 2017
2623962,741263,@AppleSupport I just accidentally combined two people in Faces in Photos on iOS. Any easy way to split without doing this manually?,@741263 Our Apple Apps team would be the best to help. Reach them here:  https://t.co/IBIY3vMgPj,Mon Oct 30 22:38:39 +0000 2017
724636,148387,@AppleSupport are any of your other stores open 24 hours?,@148387 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,Wed Oct 11 02:56:09 +0000 2017
1959184,581202,@applesupport i updated my phone and now my speaker phone option doesn't work :/ help,"@581202 We want to help. DM us, and let us know what happens exactly when you try to use the speakerphone. We'll look into this. https://t.co/GDrqU22YpT",Mon Oct 30 20:53:39 +0000 2017
486180,230667,"@AppleSupport hello, my family member have troubles since (monday) have updated my credit card expiration date. Can you help me? thx!",@230667 Of course! We'd be happy to help guide you in getting your payment information updated. Check out this article that provides a few ways to do so: https://t.co/Y0YoIRcZa7 Let us know if that helps.,Fri Dec 01 12:12:20 +0000 2017
2726869,764678,".@AppleSupport GPS has stopped working on my iPhone 6 after iOS 11.1. Finds me when I’m stopped, wont follow me once I’m moving. Have reset location services and network services to no avail","@764678 We'd love to help get that back to working as expected! Just so we're on the same page, is this issue happening only when using specific application? For example, does it only occur when using Maps, or does it happen with multiple apps?",Mon Nov 20 05:31:55 +0000 2017
1633514,499779,@AppleSupport Yes yes. Found it &amp; deleted it. Thanks.,@499779 You're welcome.  Feel free to reach out to us if you have any further questions.  Have a wonderful day!,Tue Oct 17 13:09:28 +0000 2017
1889604,563511,"@AppleSupport I keep getting this message when trying to login to icloud on windows. any reason why?
thanks https://t.co/RPZLkcyfhF",@563511 Hi there. We'll be glad to look into this further. Please shoot us a DM and share the message in English to get started here: https://t.co/GDrqU22YpT,Sun Oct 22 12:47:23 +0000 2017
2866178,468748,@AppleSupport do you know why for the past month I’ve been receiving U.S. emails when I’m in the U.K.? https://t.co/qGjC6TJ4EE,"@468748 Our Online Sales Support would be best suited to assist you, you can reach them here: https://t.co/K0222CJgiB",Tue Nov 28 00:29:00 +0000 2017
1123146,384881,My @AppleSupport iPhone is complete shit. Switches off at 80% battery. What should I change to people?,"@384881 Let’s look into this together. DM us the version of iOS your iPhone is on, and we’ll take it from there. https://t.co/GDrqU22YpT",Sat Oct 14 08:51:57 +0000 2017
427064,216576,@AppleSupport There’s a bug on iOS1102 with “now playing” it doesn’t really get apps other than Apple Music. I look forward to the next iOS version,@216576 Let's look into this together. Could you tell us which Apple device you're currently using?,Tue Oct 10 13:01:32 +0000 2017
295398,186354,@AppleSupport @115858 Able to access personal hotspot even when hotspot is switched off in my iphone #apple #ios11 #iosbug https://t.co/aSHUfvkdSj,@186354 We want to help you with your Personal Hotspot.  Please send us a DM so we can assist. https://t.co/GDrqU22YpT,Fri Oct 06 15:33:18 +0000 2017
1338086,432105,@AppleSupport have confirmation email and order number for iPhone X but just got alert Apple Pay was declined? How do I save my order?,@432105 Our Sales Support team can best assist and can be contacted from here: https://t.co/8yjRd1Xo0i,Fri Oct 27 08:15:19 +0000 2017
1622326,497051,"@AppleSupport Thanks! It’s on my Apple TV 4K on a 4K HDR TV. Not all movies are doing this, though.",@497051 Understood. Let's start by checking out this resource for more details and info to help: https://t.co/IcEUmMJ95l,Tue Oct 17 12:29:39 +0000 2017
489580,231601,@AppleSupport Will try that when I get back to my Computer,@231601 Send us a DM with the results. https://t.co/GDrqU22YpT,Fri Dec 01 19:19:50 +0000 2017
1358134,436643,@115858 @AppleSupport help,@436643 Check your order status here: https://t.co/jr7MZtpSNY  or reach our Sales Support for assistance: https://t.co/8yjRd1Xo0i,Fri Oct 27 17:17:14 +0000 2017
588031,258953,hola @AppleSupport where can I send a idea for IOS ? tnx,"@258953 Hello! We would love to hear your feedback. To get started, use this link: https://t.co/oWzjJxkvlC",Sun Dec 03 14:24:30 +0000 2017
1967767,583090,@AppleSupport any time the letter “i” is type. This error appears. See attached pic: “A?” https://t.co/L5PJDtzQ4i,@583090 Which iPhone are you using? Which iOS are you currently running? Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT,Tue Oct 31 12:29:36 +0000 2017
1575132,485392,"@AppleSupport @AppleSupport Great! Why dont you pay 💰 to people to test your overpriced stuff? If the 🔋 is ⭕️ and you plug in, you should be able to work.",@485392 Let's work together on what's happening with your device. Please shoot us a DM and we'll get started. https://t.co/GDrqU22YpT,Sat Nov 04 04:47:14 +0000 2017
2276279,662051,"@AppleSupport Updated iOS, done eveything you auggested. Now Please go through it. @AppleSupport @115858 Not expected this kind of stuff https://t.co/xFm8bnd8xQ","@662051 We're here for you. Send us a DM, and we'll take a closer look at notifications on your iPhone together. https://t.co/GDrqU22YpT",Tue Nov 28 10:47:29 +0000 2017
1900859,414332,"@AppleSupport Ok, but let’s not pretend I’m the only one with this issue.",@414332 We're all here to help. Let's start with its model and if it has iOS 11.0.3 installed. Any steps tried? Please DM us here: https://t.co/GDrqU22YpT,Tue Oct 24 00:58:57 +0000 2017
941077,13180,"Hey @AppleSupport, this latest update is making my phone overheat. Known issue? Only me? What’s up?",@13180 We're happy to help. DM us at the link below for further assistance. We can go from there. https://t.co/GDrqU22YpT,Wed Oct 11 02:03:23 +0000 2017
1920359,571691,@AppleSupport my phone keeps auto-correcting it to I/T - can you help!? I'm having no luck w/ text replacement for it too! thanks!,"@571691 We'd love to help. Could you Direct Message us the country you're located in, so we can look into this with you. https://t.co/GDrqU22YpT",Thu Oct 26 15:19:08 +0000 2017
1858752,555772,"In IOS 10.0.3, on several apps, I don't receive any notification till I open them, for example Whatsapp messages 😡
@AppleSupport",@555772 This is absolutely something we'd like to assist with. Let's begin by checking the App Store app for any available updates.,Thu Oct 19 05:44:43 +0000 2017
1212774,404641,@AppleSupport Yes. I can be using the map app and it will close and end navigation. Or using pandora and it will close mid song.,"@404641 Do you know what exact version of iOS is on the device?  If not, you can check under Settings &gt; General &gt; About &gt; Version.",Wed Oct 25 13:22:13 +0000 2017
1531025,474971,"@AppleSupport WTF!??? this latest update has fucked up every thing I attempt to do with my iPhone! Contacts, texting, Internet.. FIX IT!!!!",@474971 We're here to help. Meet us in DM and we'll work together towards a solution. https://t.co/GDrqU22YpT,Tue Oct 17 01:34:41 +0000 2017
432373,217833,@AppleSupport is this a fake email? https://t.co/AQqvInb1c0,@217833 Let's take a closer look together. Here's a link to DM us. https://t.co/GDrqU22YpT,Tue Oct 10 13:10:18 +0000 2017
998990,206735,"@AppleSupport Okay, actually not the latest update, oops! https://t.co/FR7znKXbfe",@206735 OK. If you still have issues after updating use the steps here as a workaround: https://t.co/xXaXeeSRt9,Sat Nov 04 16:14:15 +0000 2017
2618308,124066,@AppleSupport After I upgraded to the new iOS... the WiFi switches itself on. Connects to any recognised network it can.,"@124066 How do you disable Wi-Fi? If you are using the Control Center to turn off Wi-Fi, Bluetooth and Wi-Fi are now only temporarily disabled in Control Center: https://t.co/G7BHuQnDS6 To disable Wi-Fi go to Settings &gt; Wi-Fi &gt; Off.",Fri Nov 17 15:21:51 +0000 2017
1418622,449738,@AppleSupport HELLO,"@449738 We'd like to help any way we can. What's happening, exactly? Also, which model and iOS version do you have?",Wed Nov 01 22:55:16 +0000 2017
944354,343919,"@AppleSupport since iPad iOS upgrade,keyboard unstable....lags or double taps on letters. why release upgrades less than perfect? #annoying",@343919 We'd love to help! Which iOS version are you using exactly? Is this happening with your software keyboard only?,Sat Oct 21 08:05:07 +0000 2017
2291581,665536,"Is this open button suppose to be spinning...? 😂
@115858 @AppleSupport https://t.co/fxhiuU70F9",@665536 We'd be happy to help. Would you tell us more about what you're experiencing? We're not seeing anything in that screen recording.,Sun Nov 26 15:43:54 +0000 2017
1966015,215093,Anyone else noticed the new @AppleSupport iOS upgrades keeping you devices from joining public WiFi?,"@215093 We're here to help. What happens when your try to join public Wi-Fi? Does it happen with just one Wi-Fi network, or multiple?",Wed Oct 18 16:41:01 +0000 2017
1540601,477458,@AppleSupport why won’t my new #iPhoneX restore from my backup from last night?,"@477458 Congratulations on the new iPhone, we'd be happy to help. Are you getting any error message? If so what does it day?",Fri Nov 03 22:09:12 +0000 2017
2746092,769017,@AppleSupport 11.0.1,@769017 We know how important it is for your keyboard to function properly. We've released a new update to resolve this issue. We recommend backing up your iPhone first and update to our latest iOS 11.1.2 version. https://t.co/xXaXeeSRt9,Mon Nov 20 22:35:54 +0000 2017
1273660,418129,@AppleSupport thanks for the international warranty..does the international warranty applicable if we buy a iphone 7 or 7 plus now?,@418129 Apple warranties are applicable for iOS devices globally. Read more based on your region here: https://t.co/dVee3hfy7R,Thu Oct 26 13:09:32 +0000 2017
1742597,525659,@AppleSupport WTF APPLE WHY EVERY TIME I TYPE I ITS A QUESTION MARK 😑😑😑,@525659 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Tue Nov 07 07:35:02 +0000 2017
344124,197848,@AppleSupport @169257 What about iPhone 6?,@197848 Here's a list of all devices that are compatible with Apple Pay: https://t.co/vylPzkF6I8,Sun Oct 08 15:57:02 +0000 2017
1340836,432740,@AppleSupport Can you help. I had this email is it genuine? https://t.co/zFla2prOIu,@432740 That email isn't from us. Don't open any links or attachments. Use this link to report this email: https://t.co/LNMCdqt6fD,Fri Oct 27 10:46:06 +0000 2017
216148,167387,@AppleSupport No. I updated it Saturday &amp; I got the notification today,@167387 Okay. Let's take a closer look at this. Join us in DM so we can better assist you: https://t.co/GDrqU22YpT,Tue Nov 14 03:31:31 +0000 2017
1705374,516901,@516902 @115858 @AppleSupport this has been fucking me up all day,@516901 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Mon Nov 06 21:05:27 +0000 2017
2019798,597288,My iPhone 6s just turned its self off then drops down from 70% to 10% battery now it is stuck on 10% battery... @AppleSupport any help?,@597288 You've come to the right place. The first thing we'd like to have you do is meet us in DM so we can go more in-depth. Thanks! https://t.co/GDrqU22YpT,Sat Nov 04 21:16:09 +0000 2017
1533853,475687,So @AppleSupport if I’m seein squares they ain’t update yet??,@475687 Let's make sure we're on the same page. When you say 'seein squares' are you referring to emojis or missing text?,Fri Nov 03 19:17:24 +0000 2017
400894,210823,"@AppleSupport I just want one that works 😔 My Apple Watch series 1 broke, but live in Holland and Apple 3 cellular doesn't work here 🤷🏻‍♂️",@210823 We’d like to help get to the bottom of this. Can you let us know more about the situation via DM? https://t.co/GDrqU22YpT,Mon Oct 09 18:35:42 +0000 2017
1219251,406066,@applesupport podcasts don't play in background/when screen locks on new i0S 11.03 :(,@406066 Thanks for bringing this to our attention. Click here to join us in DM. We'll continue there: https://t.co/GDrqU22YpT,Wed Oct 25 13:18:56 +0000 2017
2798417,780783,@AppleSupport I have a couple pairs of bluetooth headphones that my #phonex won’t even detect.  It does work with my car’s bluetooth however.  I just upgraded to 11.1.2 and that didn’t fix the issue.,"@780783 Wireless headphones are a great accessory and we'd like to do all we can to get them both working for you. As it works with no issues on your car stereo with Bluetooth, that's a good sign from your iPhone. Any firmware updates available for your headphones?",Tue Nov 21 23:08:27 +0000 2017
1703017,516281,"@115858 @AppleSupport  
#bugReport #ios11 #iphonex
My phone won’t let me change my email signatures. 🤦‍♂️ https://t.co/4uNU92rSRh","@516281 Congratulations on your iPhone X. We're here for you. When setting this up, did you restore from a backup or set up as new?",Mon Nov 06 20:12:02 +0000 2017
1224618,407294,@AppleSupport iOS 10.  Is there a way to remove it from the words learned by the device?,@407294 Sure! You can reset the Keyboard Dictionary in Settings &gt; General &gt; Reset &gt; Reset Keyboard Dictionary.,Wed Oct 25 15:56:36 +0000 2017
2432836,281962,@AppleSupport Yes I have,@281962 Do you notice if it's slow on certain apps or throughout your entire iPhone? Let us know more in DM. https://t.co/GDrqU22YpT,Tue Nov 14 21:15:40 +0000 2017
2010385,594477,What the heck is going on @115858 @AppleSupport my phone over heats when I’m on FaceTime! Feels like it might blow like the Galaxy Note 🤦🏽‍♀️,@594477 We'd like to know more! Please DM us the details and country you're located in so we can better know how to assist you. https://t.co/GDrqU22YpT,Sun Nov 05 01:13:53 +0000 2017
2284962,663980,Confiar ue Apple te dé una sesión personalizada a la hora que te ha marcado es una auténtica quimera. Hay alguien ahí? Llevo esperando media hora y aquí seguimos con la ventana abierta @AppleSupport https://t.co/5fqXYpBLps,@663980 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,Sat Nov 11 08:35:39 +0000 2017
842527,122679,@AppleSupport Hi. My music on my iPhone is assuming I need applemusic to play even though all the songs I have downloaded and paid for?,"@122679 We love our music too, so let’s get this working.  Are you a current Apple Music subscriber? Any specific error message?",Fri Oct 20 07:31:26 +0000 2017
1522663,473155,"@AppleSupport Hello, Did you receive my message?",@473155 We'd be happy to assist further. DM us and we'll go from there. https://t.co/GDrqU22YpT,Sat Nov 04 20:01:38 +0000 2017
816440,314425,@AppleSupport No it’s just decides to switch its self on since I upgraded software from last night ?? 🤔,@314425 We definitely want to make sure your Bluetooth is operating as it should. Let's meet up in DM and we'll start troubleshooting. https://t.co/GDrqU22YpT,Thu Oct 12 16:48:28 +0000 2017
1434231,452996,@AppleSupport que puedo hacer para arreglarlo? Aparece al rato de encenderlo https://t.co/HUGPJxOtdZ,@452996 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,Thu Nov 02 19:52:41 +0000 2017
2771924,774817,@AppleSupport got the 2tb icloud but my harddrve still full. Whats the point of icloud?,"@774817 Glad to help! iCloud storage can be used to store complete device backups, as well as sync photos, videos, and documents. You'll want to refer to the steps in the section titled, ""Free up space on your device"" in this guide for further info: https://t.co/dREC7Rk0Qk",Tue Nov 21 05:25:50 +0000 2017
2639715,744969,@AppleSupport Well I guess two of the 3 accounts came back but my contacts haven’t came back I now have a text log full of just numbers and “Maybe:John etc”,"@744969 We're glad to hear there's progress, but let's keep working on that. If you log into your iCloud account at https://t.co/7dGucC7au3 do your contacts show there? Are you signed into iCloud on your iPhone in Settings &gt; [Your Name] at the top?",Fri Nov 17 22:00:56 +0000 2017
1509971,470473,Phone already acting up after the update @AppleSupport,"@470473 Fill us in via DM on what you see occurring, then we'll be happy to help out from there. https://t.co/GDrqU22YpT",Fri Nov 03 06:08:02 +0000 2017
