example_number,customer_tweet_id,customer_message,brand_response,draft_reply,proxy_correctness,proxy_helpfulness,proxy_relevance,proxy_groundedness,proxy_overall,proxy_pass,proxy_notes
16,2436025,"@AppleSupport Yes, on my IPhone. I️t tries to autocorrect in iMessage. It also appears on Facebook and Twitter.","@698912 Next, which iOS version are you using? Does restarting the iPhone help?","Thanks for reaching out. We'd be happy to help.

Next, which iOS version are you using? Does restarting the iPhone help?

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
17,2367724,@AppleSupport having issues with music purchased on iTunes it will not show up on my iPod in any playlists,@683370 We've responded to your DM. Please join us there.,"Thanks for reaching out. We'd be happy to help.

We've responded to your direct message. Please join us there.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
18,1774500,@AppleSupport Well thank you for replying. I figured it was glitch so I understand but it’s truly frustrating. Thanks for the temp solution 💕,@533284 It's our pleasure. Feel free to reach out if any questions come up.,"Thanks for reaching out. We'd be happy to help.

It's our pleasure. Feel free to reach out if any questions come up.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
19,1845369,@AppleSupport this update is booboo. Crap. Shitake. I want my flip phone back.,@274379 We want to make sure iOS 11 is running great on your iPhone. Could you join us in DM with more details on what you're seeing? https\://t.co/GDrqU22YpT,"Thanks for reaching out. We'd be happy to help.

We want to make sure iOS 11 is running great on your iPhone. Could you join us in direct message with more details on what you're seeing?

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
20,1773448,@AppleSupport fix the goddamn “I” issue.,@533007 Here’s what you can do to work around the issue until it’s fixed in a future software update: https\://t.co/xXaXeeSRt9,"Thanks for reaching out. We'd be happy to help.

Here’s what you can do to work around the issue until it’s fixed in a future software update:

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
21,195999,@AppleSupport Yes I am 🙂,@162112 Bluetooth and Wi-Fi work differently when turned off in Control Center. You can read more here: https\://t.co/G7BHuQnDS6,"Thanks for reaching out. We'd be happy to help.

OK, great. Let's take a closer look at this battery issue together. Please direct message us and we'll continue working together there.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
22,2771772,"@AppleSupport Been told I’ve got to fly to Japan to get it fixed, seems a bit impractical","@206342 We'll be happy to explore all the options available to you. To clarify, did you purchase your iPhone in Japan? Also, what issues are you having with it? In what country are you in now?","Thanks for reaching out. We'd be happy to help.

We'll be happy to explore all the options available to you. To clarify, did you purchase your iPhone in Japan? Also, what issues are you having with it? In what country are you in now?

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
23,1998482,"@AppleSupport Any idea why my iPhone said ""Invalid SIM"" at the top...?","@162652 Thanks for reaching out to us today! To start, DM us know which iPhone and iOS version you're experiencing this issue on. https\://t.co/GDrqU22YpT","Thanks for reaching out. We'd be happy to help.

Thanks for reaching out to us today! To start, direct message us know which iPhone and iOS version you're experiencing this issue on.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
24,1024586,@AppleSupport is there something I can do to have the autocorrect stop? The new iOS is changing simple words like food to good in my texts.,"@362452 Let's help tailor the Settings to your preference. For a full breakdown on this, please view: https\://t.co/U5VKSTl2CD","Thanks for reaching out. We'd be happy to help.

Let's help tailor the Settings to your preference. For a full breakdown on this, please view:

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
25,1507293,@AppleSupport what is going on?,@469822 Hey there. We have your DM. We'll respond there to help out. Thank you.,"Thanks for reaching out. We'd be happy to help.

Hey we can help. Let's continue in direct message to have a closer look.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
26,2479119,"@116333 @120640 @AppleSupport @AppleSupport can you guys fix my issue.my case is pending since 13th oct.. Case ID: 100321666771

Really disappointed with the service @116333 cook @120640",@708505 We'd be happy to assist.  Please reach out to us via DM and we'll get started. https\://t.co/GDrqU22YpT,"Thanks for reaching out. We'd be happy to help.

We'd be happy to assist. Please reach out to us via direct message and we'll get started.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
27,2033583,@AppleSupport need to cancel a Genius Bar appointment but it’s not letting me do it online. Need help - appt tonight.,@601303 We'll do what we can to help you with this. Meet us in DM and we'll go from there. https\://t.co/GDrqU22YpT,"Thanks for reaching out. We'd be happy to help.

We'll do what we can to help you with this. Meet us in direct message and we'll go from there.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
28,1769960,@AppleSupport fix my i️ please,@532115 Here’s what you can do to work around the issue until it’s fixed in a future software update: https\://t.co/xXaXeeSRt9,"Thanks for reaching out. We'd be happy to help.

Here’s what you can do to work around the issue until it’s fixed in a future software update:

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
29,1734417,@AppleSupport my iPhone started strucking when I got updated new iOS 11.1 plz resolve the issue.,"@523757 Let us help. Meet us in DM with your iPhone model and details of when this occurs, please. https\://t.co/GDrqU22YpT","Thanks for reaching out. We'd be happy to help.

Let us help. Meet us in direct message with your iPhone model and details of when this occurs, please.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
30,1824297,@AppleSupport Why does it take 72 hours to change my cell phone number? How about supporting an international relocation? Unacceptable,@547627 We'd be happy to look into this with you. DM us details on how you're changing your cell number and we'll go from there. https\://t.co/GDrqU22YpT,"Thanks for reaching out. We'd be happy to help.

We'd be happy to look into this with you. direct message us details on how you're changing your cell number and we'll go from there.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
