customer_tweet_id,customer_message,brand_response,human_correctness,human_helpfulness,human_relevance,human_groundedness,human_overall,human_pass,human_notes,draft_reply
2263467,"@AppleSupport Yes. I thought it was really weird because the first time I added it, it said I couldn’t play it. Then, I deleted it and re-installed it. Now, it works.",@394453 We're glad to hear that.  Don't hesitate to contact us again in the future should you need us.,5.0,5.0,5.0,5.0,5.0,True,Appropriately acknowledges that the issue is resolved and gives a suitable closing response.,"Thanks for reaching out. We'd be happy to help.

We're glad to hear that. Don't hesitate to contact us again in the future should you need us.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
2920059,@AppleSupport Done. It would be appreciated if you passed this request on to the powers that be as well.,@116796 Thanks for providing your feedback. We value your feedback and recommendations. Please know that your feedback is reviewed. DM us with any additional questions. We're happy to do everything we can to help. https\://t.co/GDrqU22YpT,4.0,4.0,5.0,5.0,4.0,True,"Acknowledges feedback and offers continued help, though the generic escalation sentence is unnecessary.","Thanks for reaching out. We'd be happy to help.

Thanks for providing your feedback. We value your feedback and recommendations. Please know that your feedback is reviewed. direct message us with any additional questions. We're happy to do everything we can to help.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
2472878,.\@AppleSupport tip: iMessage- bring feature to allow you to pin individual or group chats. Thanks.,"@303769 We always appreciate feedback you can use our feedback link here to tell us more: https\://t.co/eTPVYVFyd8

Just reach out again if you have any other issues and have a good one!",3.0,3.0,4.0,3.0,3.0,False,"Recognizes feedback, but the missing feedback-link destination makes the response less actionable and the closing is generic.","Thanks for reaching out. We'd be happy to help.

We always appreciate feedback you can use our feedback link here to tell us more: Just reach out again if you have any other issues and have a good one!

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
2436025,"@AppleSupport Yes, on my IPhone. I️t tries to autocorrect in iMessage. It also appears on Facebook and Twitter.","@698912 Next, which iOS version are you using? Does restarting the iPhone help?",4.0,4.0,5.0,5.0,4.0,True,"Asks about iOS version and restart behavior, both relevant diagnostic questions for the autocorrect issue.","Thanks for reaching out. We'd be happy to help.

Next, which iOS version are you using? Does restarting the iPhone help?

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
2367724,@AppleSupport having issues with music purchased on iTunes it will not show up on my iPod in any playlists,@683370 We've responded to your DM. Please join us there.,2.0,2.0,4.0,5.0,2.0,False,The direct-message handoff is consistent with the historical response but does not help troubleshoot the missing music.,"Thanks for reaching out. We'd be happy to help.

We've responded to your direct message. Please join us there.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
1774500,@AppleSupport Well thank you for replying. I figured it was glitch so I understand but it’s truly frustrating. Thanks for the temp solution 💕,@533284 It's our pleasure. Feel free to reach out if any questions come up.,5.0,5.0,5.0,5.0,5.0,True,The customer indicates the issue is resolved; the appreciative closing is appropriate.,"Thanks for reaching out. We'd be happy to help.

It's our pleasure. Feel free to reach out if any questions come up.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
1845369,@AppleSupport this update is booboo. Crap. Shitake. I want my flip phone back.,@274379 We want to make sure iOS 11 is running great on your iPhone. Could you join us in DM with more details on what you're seeing? https\://t.co/GDrqU22YpT,3.0,3.0,4.0,4.0,3.0,False,"Acknowledges the update complaint and requests more details, but offers little concrete help.","Thanks for reaching out. We'd be happy to help.

We want to make sure iOS 11 is running great on your iPhone. Could you join us in direct message with more details on what you're seeing?

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
1773448,@AppleSupport fix the goddamn “I” issue.,@533007 Here’s what you can do to work around the issue until it’s fixed in a future software update: https\://t.co/xXaXeeSRt9,4.0,4.0,5.0,5.0,4.0,True,"Relevant to the known keyboard 'I' issue and points to the historical workaround, although the actual instructions were removed with the URL.","Thanks for reaching out. We'd be happy to help.

Here’s what you can do to work around the issue until it’s fixed in a future software update:

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
195999,@AppleSupport Yes I am 🙂,@162112 Bluetooth and Wi-Fi work differently when turned off in Control Center. You can read more here: https\://t.co/G7BHuQnDS6,3.0,2.0,3.0,3.0,2.0,False,The reply appears mismatched to the visible customer message and refers to a battery issue without enough context.,"Thanks for reaching out. We'd be happy to help.

OK, great. Let's take a closer look at this battery issue together. Please direct message us and we'll continue working together there.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
2771772,"@AppleSupport Been told I’ve got to fly to Japan to get it fixed, seems a bit impractical","@206342 We'll be happy to explore all the options available to you. To clarify, did you purchase your iPhone in Japan? Also, what issues are you having with it? In what country are you in now?",5.0,5.0,5.0,5.0,5.0,True,Asks exactly the contextual questions needed for an international repair/warranty situation and avoids making unsupported claims.,"Thanks for reaching out. We'd be happy to help.

We'll be happy to explore all the options available to you. To clarify, did you purchase your iPhone in Japan? Also, what issues are you having with it? In what country are you in now?

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
1998482,"@AppleSupport Any idea why my iPhone said ""Invalid SIM"" at the top...?","@162652 Thanks for reaching out to us today! To start, DM us know which iPhone and iOS version you're experiencing this issue on. https\://t.co/GDrqU22YpT",4.0,4.0,5.0,5.0,4.0,True,"Requests the iPhone model and iOS version, which are relevant to diagnosing an Invalid SIM issue.","Thanks for reaching out. We'd be happy to help.

Thanks for reaching out to us today! To start, direct message us know which iPhone and iOS version you're experiencing this issue on.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
1024586,@AppleSupport is there something I can do to have the autocorrect stop? The new iOS is changing simple words like food to good in my texts.,"@362452 Let's help tailor the Settings to your preference. For a full breakdown on this, please view: https\://t.co/U5VKSTl2CD",3.0,3.0,5.0,4.0,3.0,False,"The response points toward settings but loses the actual support link, leaving the customer without the promised instructions.","Thanks for reaching out. We'd be happy to help.

Let's help tailor the Settings to your preference. For a full breakdown on this, please view:

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
1507293,@AppleSupport what is going on?,@469822 Hey there. We have your DM. We'll respond there to help out. Thank you.,3.0,2.0,4.0,5.0,3.0,False,"A direct-message handoff is reasonable for a vague request, but it offers little immediate help.","Thanks for reaching out. We'd be happy to help.

Hey we can help. Let's continue in direct message to have a closer look.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
2479119,"@116333 @120640 @AppleSupport @AppleSupport can you guys fix my issue.my case is pending since 13th oct.. Case ID: 100321666771

Really disappointed with the service @116333 cook @120640",@708505 We'd be happy to assist.  Please reach out to us via DM and we'll get started. https\://t.co/GDrqU22YpT,4.0,3.0,5.0,5.0,4.0,True,"Appropriate case follow-up via direct message, though it does not address the long-pending case specifically.","Thanks for reaching out. We'd be happy to help.

We'd be happy to assist. Please reach out to us via direct message and we'll get started.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
2033583,@AppleSupport need to cancel a Genius Bar appointment but it’s not letting me do it online. Need help - appt tonight.,@601303 We'll do what we can to help you with this. Meet us in DM and we'll go from there. https\://t.co/GDrqU22YpT,5.0,4.0,5.0,5.0,4.0,True,Directly addresses the appointment problem and offers a support handoff appropriate to a time-sensitive case.,"Thanks for reaching out. We'd be happy to help.

We'll do what we can to help you with this. Meet us in direct message and we'll go from there.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
1769960,@AppleSupport fix my i️ please,@532115 Here’s what you can do to work around the issue until it’s fixed in a future software update: https\://t.co/xXaXeeSRt9,4.0,3.0,4.0,5.0,4.0,True,"Uses the historical workaround for the known issue, but the customer message is too vague to make the response highly specific.","Thanks for reaching out. We'd be happy to help.

Here’s what you can do to work around the issue until it’s fixed in a future software update:

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
1734417,@AppleSupport my iPhone started strucking when I got updated new iOS 11.1 plz resolve the issue.,"@523757 Let us help. Meet us in DM with your iPhone model and details of when this occurs, please. https\://t.co/GDrqU22YpT",5.0,5.0,5.0,5.0,5.0,True,"Requests the iPhone model and timing/details of the problem after an iOS update, a strong diagnostic next step.","Thanks for reaching out. We'd be happy to help.

Let us help. Meet us in direct message with your iPhone model and details of when this occurs, please.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
1824297,@AppleSupport Why does it take 72 hours to change my cell phone number? How about supporting an international relocation? Unacceptable,@547627 We'd be happy to look into this with you. DM us details on how you're changing your cell number and we'll go from there. https\://t.co/GDrqU22YpT,4.0,4.0,5.0,5.0,4.0,True,"Requests details about the phone-number change and offers continued support, which is relevant to the international relocation issue.","Thanks for reaching out. We'd be happy to help.

We'd be happy to look into this with you. direct message us details on how you're changing your cell number and we'll go from there.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look."
